127.0.0.1 - - [06/Sep/2024:09:17:56 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:17:57 +0530] "GET /Website/signin.jsp HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:17:57 +0530] "GET /Website/CSS/SignIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:17:57 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:18:12 +0530] "POST /Website/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:18:16 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:18:16 +0530] "GET /Website/images/product_images/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:18:16 +0530] "GET /Website/images/product_images/shoes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:18:16 +0530] "GET /Website/images/product_images/dress.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:18:16 +0530] "GET /Website/images/product_images/lcd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:19:34 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5119
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:19:43 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5119
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:20:21 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:20:48 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5120
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:21:43 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:21:54 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:21:55 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:22:01 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:22:23 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5189
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:22:23 +0530] "GET /Website/home.jsp HTTP/1.1" 200 5189
0:0:0:0:0:0:0:1 - - [06/Sep/2024:09:22:25 +0530] "GET /Website/mycart.jsp HTTP/1.1" 200 3279
