127.0.0.1 - - [01/Sep/2024:18:16:30 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:31 +0530] "GET /Website/signin.jsp HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:31 +0530] "GET /Website/CSS/SignIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:31 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:38 +0530] "POST /Website/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:39 +0530] "GET /Website/signin.jsp?msg=notexist HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:45 +0530] "POST /Website/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:45 +0530] "GET /Website/home.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:45 +0530] "GET /Website/CSS/adminHeader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:45 +0530] "GET /Website/CSS/allproducteditproduct.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:48 +0530] "GET /Website/messageus.jsp HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:55 +0530] "POST /Website/messageusAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:16:55 +0530] "GET /Website/messageus.jsp?msg=valid HTTP/1.1" 200 3210
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:20:16 +0530] "GET /Website/messageus.jsp?msg=valid HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:20:16 +0530] "GET /Website/messageus.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:20:18 +0530] "GET /Website/changedetails.jsp HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:20:18 +0530] "GET /Website/CSS/changedetails.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:20:21 +0530] "GET /Website/header.jsp HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:25:22 +0530] "GET /Website/messageus.jsp HTTP/1.1" 200 3060
